event_id,date,theater,event_type,title_zh,title_en,summary_zh,summary_en,source_side,source_ua,source_ru,source_third,url_ua,url_ru,url_third,reliability,confidence,disagreement_flag,disagreement_note_zh,forecast_related,tags,editor,updated_at,schema_version
2026-07-13-001,2026-07-13,homeland-ua,frontline,Kyiv: frontline event,Kyiv: frontline event,VIINA 事件（2026-07-13）：地点 Kyiv，主类型 frontline，信源 liga,VIINA 事件（2026-07-13）：地点 Kyiv，主类型 frontline，信源 liga,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:ua;media:liga;viina_t:frontline,pipeline,2026-08-12,v1
2026-07-13-002,2026-07-13,political,external,Pustomyty: external event,Pustomyty: external event,VIINA 事件（2026-07-13）：地点 Pustomyty，主类型 external，信源 liga,VIINA 事件（2026-07-13）：地点 Pustomyty，主类型 external，信源 liga,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;media:liga,pipeline,2026-08-12,v1
2026-07-13-003,2026-07-13,political,civilian,Volovytsia: civilian event,Volovytsia: civilian event,VIINA 事件（2026-07-13）：地点 Volovytsia，主类型 civilian，信源 liga,VIINA 事件（2026-07-13）：地点 Volovytsia，主类型 civilian，信源 liga,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:ua;media:liga;viina_t:civilian,pipeline,2026-08-12,v1
2026-07-13-004,2026-07-13,homeland-ua,civilian,Kyiv: civilian event,Kyiv: civilian event,VIINA 事件（2026-07-13）：地点 Kyiv，主类型 civilian，信源 liga,VIINA 事件（2026-07-13）：地点 Kyiv，主类型 civilian，信源 liga,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:ua;media:liga;viina_t:civilian,pipeline,2026-08-12,v1
2026-07-13-005,2026-07-13,political,external,Lviv: external event,Lviv: external event,VIINA 事件（2026-07-13）：地点 Lviv，主类型 external，信源 liga,VIINA 事件（2026-07-13）：地点 Lviv，主类型 external，信源 liga,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;media:liga,pipeline,2026-08-12,v1
2026-07-13-006,2026-07-13,east-donetsk,troops,Miskyi Ostriv: troops event,Miskyi Ostriv: troops event,VIINA 事件（2026-07-13）：地点 Miskyi Ostriv，主类型 troops，信源 liga,VIINA 事件（2026-07-13）：地点 Miskyi Ostriv，主类型 troops，信源 liga,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:ru;actor:ua;media:liga;viina_t:troops;viina_t:frontline,pipeline,2026-08-12,v1
2026-07-13-007,2026-07-13,political,civilian,Dnipro: civilian event,Dnipro: civilian event,VIINA 事件（2026-07-13）：地点 Dnipro，主类型 civilian，信源 liga,VIINA 事件（2026-07-13）：地点 Dnipro，主类型 civilian，信源 liga,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:civ;media:liga;viina_t:civilian,pipeline,2026-08-12,v1
2026-07-13-008,2026-07-13,political,external,Karpaty: external event,Karpaty: external event,VIINA 事件（2026-07-13）：地点 Karpaty，主类型 external，信源 liga,VIINA 事件（2026-07-13）：地点 Karpaty，主类型 external，信源 liga,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;media:liga,pipeline,2026-08-12,v1
2026-07-13-009,2026-07-13,homeland-ua,external,Kyiv: external event,Kyiv: external event,"VIINA 事件（2026-07-13）：地点 Kyiv，主类型 external，信源 liga, unian","VIINA 事件（2026-07-13）：地点 Kyiv，主类型 external，信源 liga, unian",third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,"viina;media:liga, unian",pipeline,2026-08-12,v1
2026-07-13-010,2026-07-13,political,civilian,Vesele: civilian event,Vesele: civilian event,VIINA 事件（2026-07-13）：地点 Vesele，主类型 civilian，信源 liga,VIINA 事件（2026-07-13）：地点 Vesele，主类型 civilian，信源 liga,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:ru;actor:ua;media:liga;viina_t:civilian;viina_t:civilian;viina_t:frontline,pipeline,2026-08-12,v1
2026-07-13-011,2026-07-13,east-donetsk,civilian,Sotsmisto: civilian event,Sotsmisto: civilian event,VIINA 事件（2026-07-13）：地点 Sotsmisto，主类型 civilian，信源 espreso,VIINA 事件（2026-07-13）：地点 Sotsmisto，主类型 civilian，信源 espreso,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:ru;actor:ua;media:espreso;viina_t:civilian;viina_t:frontline,pipeline,2026-08-12,v1
2026-07-13-012,2026-07-13,political,civilian,Kavkaz: civilian event,Kavkaz: civilian event,"VIINA 事件（2026-07-13）：地点 Kavkaz，主类型 civilian，信源 espreso, nv","VIINA 事件（2026-07-13）：地点 Kavkaz，主类型 civilian，信源 espreso, nv",third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,"viina;actor:ru;actor:ua;media:espreso, nv;viina_t:civilian;viina_t:frontline;viina_t:frontline",pipeline,2026-08-12,v1
2026-07-13-013,2026-07-13,black-sea,frontline,Bilka: frontline event,Bilka: frontline event,VIINA 事件（2026-07-13）：地点 Bilka，主类型 frontline，信源 espreso,VIINA 事件（2026-07-13）：地点 Bilka，主类型 frontline，信源 espreso,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:ru;actor:ua;media:espreso;viina_t:frontline,pipeline,2026-08-12,v1
2026-07-13-014,2026-07-13,political,frontline,Sevastopol: frontline event,Sevastopol: frontline event,VIINA 事件（2026-07-13）：地点 Sevastopol，主类型 frontline，信源 espreso,VIINA 事件（2026-07-13）：地点 Sevastopol，主类型 frontline，信源 espreso,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:ru;actor:ua;media:espreso;viina_t:frontline,pipeline,2026-08-12,v1
2026-07-13-015,2026-07-13,political,external,Monastyr-Derezhytskyi: external event,Monastyr-Derezhytskyi: external event,VIINA 事件（2026-07-13）：地点 Monastyr-Derezhytskyi，主类型 external，信源 espreso,VIINA 事件（2026-07-13）：地点 Monastyr-Derezhytskyi，主类型 external，信源 espreso,third,,,VIINA,,,https://github.com/zhukovyuri/VIINA,B,3,no,,no,viina;actor:ru;actor:ua;media:espreso,pipeline,2026-08-12,v1
